Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity
Mom'S Recipe Sunflower Oil 5L,Oil,TY00059,4820001116649,5l,140,10.7143,155,,1,0,1,0,1,,-2
Vega Oil 25L,Oil,TY00060,,25l,0,0,310,,1,0,1,0,0,,0
Viking Veg Oil 20L,Oil,TY00061,,20l,0,0,0,,1,0,1,0,0,,0
Talisha Oil 5L,Oil,TY00062,,5l,0,0,103,,1,0,1,0,0,,0
Talisha Oil 25L,Oil,TY00063,,25l,0,0,420,,1,0,1,0,0,,0
Frytol 0.5L,Oil,TY00064,,0.5l,15.4,10.3896,17,,1,0,1,0,1,,0
Frytol 0.9L,Oil,TY00065,6033000570109,0.9l,26.5,13.2075,30,,1,0,1,0,1,,-18
Frytol 4.5L,Oil,TY00066,,4.5l,98.75,11.3924,110,,1,0,1,0,1,,-4
Frytol 5L,Oil,TY00067,,5l,0,0,250,,1,0,1,0,1,,0
Frytol 25L,Oil,TY00068,,25l,480,4.1667,500,,1,0,1,0,1,,0
Ginny 5L,Oil,TY00069,,5l,0,0,90,,1,0,1,0,0,,0
Aya 25L,Oil,TY00070,,25l,0,0,470,,1,0,1,0,0,,0
Aya 10L,Oil,TY00071,,10l,0,0,215,,1,0,1,0,0,,0
unoli 1l,Oil,TY00072,,0.9l,0,0,40,,1,0,1,0,1,,-5
Collina D'Oro,Oil,TY00073,,,0,0,0,,1,0,1,0,0,,0
Semi Vari Oil,Oil,TY00074,,1l,0,0,25,,1,0,1,0,0,,0
Tasty Tom Sachets 210g,Tomato Paste,TY00075,6033000303974,sachet,3.45,88.4058,6.5,,1,0,1,0,1,,-12
Tasty Tom 210g Tin,Tomato Paste,TY00076,6033000300010,tin,6,0,7,,1,0,1,0,1,,-2
Tasty Tom Sachets 400g,Tomato Paste,TY00077,6033000303981,sachet,9.25,8.1081,10,,1,0,1,0,1,,-22
Tasty Tom Tin 400g,Tomato Paste,TY00078,,tin,9.583,9.569,10.5,,1,0,1,0,1,,-6
Tasty Tom Sachets 1.05kg,Tomato Paste,TY00079,6033000303998,sachet,22.25,5.618,23.5,,1,0,1,0,1,,-21
Tasty Tom Tin 2.2kg,Tomato Paste,TY00080,6033000300034,tin,46,4.3478,48,,1,0,1,0,1,,-3
Tasty Tom Sachets 60g,Tomato Paste,TY00081,6033000300140,sachet,2,10,2.2,,1,0,1,0,1,,-29
Tasty Tom Tin 400g Box,Tomato Paste,TY00082,,box,227,0,4,,1,0,1,0,1,,0
Gino Sachet 200g Box,Tomato Paste,TY00083,,box,5,20,6,,1,0,1,0,1,,0
Lyzy Tin Tomato 210g Box,Tomato Paste,TY00084,,box,0,0,155,,1,0,1,0,1,,0
Sweet Mama 70G Sachet,Tomato Paste,TY00085,,sachet,0,0,1,,1,0,1,0,1,,0
Rosa Tomato Paste 2.2kg Tin,Tomato Paste,TY00086,6034600188817,tin,3.52,894.3182,35,,1,0,1,0,1,,-9
Leap 210Gm Tin,Tomato Paste,TY00087,,tin,0,0,4,,1,0,1,0,0,,0
Lyzy Tin Tomato 2.2kg,Tomato Paste,TY00088,,tin,0,0,34,,1,0,1,0,0,,0
Lyzy Tomato Paste Sachet 210G,Tomato Paste,TY00089,,sachet,0,0,4,,1,0,1,0,0,,0
Gino Sachet 200g,Tomato Paste,TY00090,8410300574903,sachet,5.96,9.0909,6.5,,1,0,1,0,1,,-16
Gino Tin 2.2kg,Tomato Paste,TY00091,,tin,42,7.1429,45,,1,0,1,0,1,,0
Kivo Tomato Paste 2.2kg,Tomato Paste,TY00092,,tin,0,0,42,,1,0,1,0,0,,0
Salsa Tomato Paste 400G,Tomato Paste,TY00093,,tin,0,0,20.5,,1,0,1,0,1,,0
Enapa Mackerel 425G Green (Eo),Mackerel,TY00094,8852111003683,pcs,13.88,15.2738,16,,1,0,1,0,1,,-2
Enapa Mackerel(Ho) Red,Mackerel,TY00095,8853112351988,pcs,5.86,19.4539,7,,1,0,1,0,1,,-1
Enapa Mackerel(Eo) Green,Mackerel,TY00096,8853112351919,pcs,6.04,15.894,7,,1,0,1,0,1,,-3
Vega Mackerel (Ho) 400g,Mackerel,TY00097,,pcs,0,0,11,,1,0,1,0,0,,0
Tonoli 125g,Mackerel,TY00098,,pcs,0,0,5,,1,0,1,0,0,,0
Vega Sardines,Sardine,TY00099,,pcs,0,0,8.3,,1,0,1,0,1,,0
Bella Sardine,Sardine,TY00100,2004090418897,pcs,6.3,19.0476,7.5,,1,0,1,0,1,,-1
Enapa Sardines,Sardine,TY00101,244641749021,pcs,2.81,17.6471,8,,1,0,1,0,1,,-6
