Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Quantity
Morocco Sugar Half Olonka,Sugar,TY00254,,64p,0,0,30,,1,0,1,0,0,,0
Maggi 60X10G Shrimp Tablets Box,Spices,TY00255,6033000086136,60x10g,28.33,0,32,,1,0,1,0,1,,-8.5
Coca Cola 30Cl Pack,Beverages,TY00234,,0.3lx12,53,5.6604,56,,1,0,1,0,1,,-2.036
Schweppes Citrus 35Cl Pack,Beverages,TY00235,,0.35lx12,41.5,39.759,58,,1,0,1,0,1,,-1
Wofa Beef Spice 10G,Spices,TY00236,,pcs,0,0,0.6,,1,0,1,0,1,,0
Oba Spaghetti 450G Box,Spaghetti,TY00237,,20x450g,0,0,158,,1,0,1,0,0,,0
Royal Umbrella 5kg,Rice,TY00356,,5kg,111,2.7027,114,,1,0,1,0,1,,0
Bella 45kg,Rice,TY00256,,45kg,620,3.2258,640,,1,0,1,0,1,,0
Chanel Gold 5kg,Rice,TY00257,,5kg,65,6.1538,69,,1,0,1,0,1,,-1
Indomie Super Pack Box,Indomie,TY00349,,box,228,5.2632,240,,1,0,1,0,1,,-1
Indomie Hungryman Box,Indomie,TY00350,,box,205,7.3171,220,,1,0,1,0,1,,-0.5
Pretty Lady 45kg,Rice,TY00258,,45kg,630,1.5873,640,,1,0,1,0,1,,0
Viking  Oil 25L,Oil,TY00336,,25l,0,0,460,,1,0,1,0,1,,0
Chanel Gold 5X5kg,Rice,TY00337,,5x5kg,325,6.1538,345,,1,0,1,0,1,,0
Lyzy 2.2 Paste,Tomato Paste,TY00296,,tin,0,0,23,,1,0,1,0,1,,0
Lele Sardine,Sardine,TY00261,6034000179279,pcs,8,12.5,9,,1,0,1,0,1,,0
Medaase Spag 435G,Spaghetti,TY00272,,pcs,6.75,18.5185,8,,1,0,1,0,1,,0
Angelina Macaroni,Spaghetti,TY00263,,pcs,0,0,6.5,,1,0,1,0,1,,0
Abena Beef Pate,Ketchup\Mayonnaise\Baked Beans,TY00264,6033000431981,pcs,0,0,14.5,,1,0,1,0,1,,0
Lele Beef Pate,Ketchup\Mayonnaise\Baked Beans,TY00265,,pcs,0,0,14.5,,1,0,1,0,1,,0
Tilemsi,Rice,TY00266,,5x5kg,0,0,600,,1,0,1,0,1,,0
Unoli Soya Oil 1L,Oil,TY00355,8715715030618,1l,39.17,7.2249,42,,1,0,1,0,1,,-4
Abena Rice 4.5kgx5,Rice,TY00250,,5x4.5kg,345,5.7971,365,,1,0,1,0,1,,-1
Kpanla 25+,Meat\Fish,TY00259,,kg,34,11.7647,38,,1,0,1,0,1,,0
Chicken Broiler Carton Holland Mountaire,Meat\Fish,TY00260,,10kg,270,7.4074,290,,1,0,1,0,1,,0
Gino 210G Box,Tomato Paste,TY00262,,box,0,0,155,,1,0,1,0,1,,0
Full Chicken Box,Meat\Fish,TY00268,,10kg,340,11.7647,380,,1,0,1,0,1,,-6
Full Chicken Med,Meat\Fish,TY00269,,1kg,0,0,38,,1,0,1,0,0,,0
Fanta Lemon 300Ml,Beverages,TY00270,90418723,300ml,3.46,44.5087,5,,1,0,1,0,1,,-3
Fanta Cocktail 30Cl,Beverages,TY00271,42116011,30cl,3.46,44.5087,5,,1,0,1,0,1,,-3
Onga Jollof,Spices,TY00273,,pcs,0,0,2,,1,0,1,0,1,,0
Kpanla 14+ Box 10kg,Meat\Fish,TY00276,,carton,250,8,270,,1,0,1,0,1,,0
Full Chicken Small,Meat\Fish,TY00277,,pcs,36,5.5556,38,,1,0,1,0,1,,-14
Gino Tomato Paste 380G,Tomato Paste,TY00278,8410300361459,sachet,8.96,6.0465,9.5,,1,0,1,0,1,,-10
Gino Tomato Paste 1.05kg,Tomato Paste,TY00279,8410300361466,sachet,21.92,4.927,23,,1,0,1,0,1,,-9
Kivo Tomato Paste 400G,Tomato Paste,TY00290,,sachet,7.397260274,0,8.5,,1,0,1,0,0,,0
Lele Oil 5L,Oil,TY00339,,5l,0,0,255,,1,0,1,0,1,,0
Viva 22.5 kg,Rice,TY00280,,22.5kg,0,0,370,,1,0,1,0,1,,0
Tasty Tom 65g Box,Tomato Paste,TY00338,,box,94.5,0,104,,1,0,1,0,1,,0
Chicken Layer Box,Meat\Fish,TY00281,,carton,285,8.7719,310,,1,0,1,0,1,,-1
Red Fish Box,Meat\Fish,TY00282,,carton,0,0,440,,1,0,1,0,1,,-1
Fortune Delicious,Rice,TY00283,,5kg,0,0,48,,1,0,1,0,0,,0
Frytol 2L,Oil,TY00284,,2l,59,10.1695,65,,1,0,1,0,1,,-2
Google Rice,Rice,TY00285,,45kg,0,0,630,,1,0,1,0,1,,0
Chicken Back Box,Meat\Fish,TY00295,,carton,184,8.6957,200,,1,0,1,0,1,,-13
Fortune Green 25kg,Rice,TY00286,,25kg,0,0,390,,1,0,1,0,1,,0
Kpanla 20+ Box 10kg,Meat\Fish,TY00287,,carton,255,0,340,,1,0,1,0,1,,0
Kpanla 16+ Box 10kg,Meat\Fish,TY00288,,carton,250,16,290,,1,0,1,0,1,,-1.5
Red Fish Small Box,Meat\Fish,TY00315,,carton,340,8.8235,370,,1,0,1,0,1,,0
Viking 5L,Oil,TY00289,,5l,0,0,135,,1,0,1,0,1,,0
Vega Rice 5kg,Rice,TY00291,,5kg,0,0,48,,1,0,1,0,1,,0
Miss U Viet 4.5kg Rice,Rice,TY00354,,4.5kg,64,4.6875,67,,1,0,1,0,1,,0
Lamore 2.2kg,Tomato Paste,TY00353,6034600188800,pcs,29.17,19.9863,35,,1,0,1,0,1,,-1
Abba 5kg Rice,Rice,TY00351,,5kg,0,0,105,,1,0,1,0,0,,0
Royal Aroma 5X5kg,Rice,TY00300,,5x5kg,375,5.3333,395,,1,0,1,0,1,,0
Anna 25L,Oil,TY00301,,25l,0,0,470,,1,0,1,0,1,,0
Tasty Tom Jollof 1.1kg,Tomato Paste,TY00302,,sachet,0,0,22.5,,1,0,1,0,1,,0
Salmon Abidjan,Meat\Fish,TY00294,,kg,35.5,7.0423,38,,1,0,1,0,1,,-20.5999999999999
Waakye Rice Olonka,Rice,TY00293,,olonka,0,0,20,,1,0,1,0,1,,-1
Kivo Tomato Paste 1kg,Tomato Paste,TY00352,,pcs,4.615384615,13.3333,17,,1,0,1,0,0,,0
Full Chicken Box Big,Meat\Fish,TY00303,,carton,340,0,380,,1,0,1,0,0,,0
Drumstick Carton,Meat\Fish,TY00304,,box,270,0,320,,1,0,1,0,1,,0
Frangosul,Meat\Fish,TY00306,,pcs,0,0,14,,1,0,1,0,1,,0
Bella Olonka,Rice,TY00307,,olonka,0,0,40,,1,0,1,0,1,,-6
Kivo 210G,Tomato Paste,TY00308,,sachet,5.2083,15.1631,6,,1,0,1,0,1,,0
Paganini,Spaghetti,TY00309,,pcs,0,0,12,,1,0,1,0,1,,0
Nana Sausage,Meat\Fish,TY00274,,pcs,0,0,8,,1,0,1,0,1,,0
Drumstick  Carton 10kg Box,Meat\Fish,TY00292,,10kg,0,0,330,,1,0,1,0,1,,-2
Montaire Drumstick 1kg,Meat\Fish,TY00275,,1kg,16.1038961,0,34,,1,0,1,0,1,,0
Gino Rice 5X5kg,Rice,TY00267,,25kg,650,3.0769,670,,1,0,1,0,1,,0
Large Crate Of Eggs,Meat\Fish,TY00316,,crate,50,0,55,,1,0,1,0,1,,-4
Eggs,Meat\Fish,TY00317,,pcs,0,0,1.8,,1,0,1,0,1,,-85
Nigeria Sugar Bag,Sugar,TY00318,,50kg,0,0,560,,1,0,1,0,1,,0
Nigeria Sugar Olonka,Sugar,TY00319,,olonka,0,0,36,,1,0,1,0,1,,0
Rambo Beef Pate 400G,Ketchup\Mayonnaise\Baked Beans,TY00297,3434350004666,pcs,14.75,8.4746,16,,1,0,1,0,1,,0
Miss U Viet Rice 5X4.5kg,Rice,TY00298,,25kg,3320,-89.9096,335,,1,0,1,0,1,,0
Miss U 5kg Rice,Rice,TY00299,,5kg,0,0,67,,1,0,1,0,0,,0
Cic Daibon 5kg Rice,Rice,TY00305,,5kg,0,0,83,,1,0,1,0,1,,0
K75 50kg,Rice,TY00310,,50kg,725,2.3448,742,,1,0,1,0,1,,0
City Rice 50kg,Rice,TY00311,,50kg,0,0,355,,1,0,1,0,1,,0
Royal Aroma 50kg,Rice,TY00312,,50kg,710,2.8169,730,,1,0,1,0,1,,0
Dubai Gold 5x4.5kg,Rice,TY00313,,5x4.5kg,320,6.25,340,,1,0,1,0,1,,-2
Frytol Sunnia 25L,Oil,TY00344,,25l,0,0,535,,1,0,1,0,1,,0
Royal Aroma 25kg,Rice,TY00320,,25kg,370,5.4054,390,,1,0,1,0,1,,-1
Fortune Green 5X5kg,Rice,TY00321,,5x5kg,400,3.75,415,,1,0,1,0,1,,0
Fortune Orange 5X5kg,Rice,TY00322,,5x5kg,405,3.7037,420,,1,0,1,0,1,,0
Pena Sausage Box,Meat\Fish,TY00323,,box,295,11.8644,330,,1,0,1,0,1,,0
Chicken Wings Hard Box,Meat\Fish,TY00324,,carton,320,3.125,330,,1,0,1,0,1,,-2
Leap Tomato 2.2kg Tin,Tomato Paste,TY00238,,tin,0,0,34,,1,0,1,0,1,,0
Sultana Thai Rice 5x4.5kg,Rice,TY00325,,5x4.5kg,500,6,530,,1,0,1,0,1,,0
Konkord Salt 250G Sachet,Spices,TY00357,,pcs,0,0,2.5,,1,0,1,0,1,,0
Konkord Iodised Salt 500G,Spices,TY00358,,pcs,0,0,5,,1,0,1,0,1,,0
Annapurna Iodated Salt 900G,Spices,TY00359,,pcs,0,0,8,,1,0,1,0,1,,-3
Viva Rice 45kg,Rice,TY00360,,45kg,433.3333333,0,690,,1,0,1,0,1,,0
Special Rice 5X4.5kg,Rice,TY00361,,5x4.5kg,340,4.4118,355,,1,0,1,0,1,,0
Sultana Viet 45kg [rplc],Rice,TY00345,,45kg,620,5.6452,655,,1,0,1,0,0,,0
Millicent Rice 5X5kg,Rice,TY00346,,5x5kg,372,5.3763,392,,1,0,1,0,1,,-2
Sultana Viet Rice 5X4.25kg,Rice,TY00326,,5x5kg,320,4.6875,335,,1,0,1,0,1,,0
Vega Rice 5X5kg,Rice,TY00327,,5x5kg,0,0,195,,1,0,1,0,1,,0
Heaven Soy Sauce,Oil,TY00328,,pcs,0,0,16.5,,1,0,1,0,1,,0
Oba Spaghetti 200G,Spaghetti,TY00329,869828069036,pcs,0,0,4,,1,0,1,0,1,,-33
Rambo Baked Beans,Ketchup\Mayonnaise\Baked Beans,TY00330,,pcs,0,0,9,,1,0,1,0,1,,0
K75 Gold 45kg,Rice,TY00331,,45kg,570,3.5088,590,,1,0,1,0,1,,0
Rich City Rice 5X5,Rice,TY00332,,5x5kg,0,0,46,,1,0,1,0,1,,0
Medaase Spag 20X435G Box,Spaghetti,TY00333,,20x435g,135,14.8148,155,,1,0,1,0,1,,0
Medo Rice 5X5,Rice,TY00334,,5x5kg,0,0,240,,1,0,1,0,1,,0
Hug Me Rice  5X4.5kg,Rice,TY00362,,5x4.5kg,0,0,195,,1,0,1,0,1,,0
Lele Rice 5kgx5,Rice,TY00363,,25kg,528,4.1667,550,,1,0,1,0,1,,-2
Sprite Zero 300Ml Pet,Beverages,TY00364,54007888,300ml,3.46,44.5087,5,,1,0,1,0,1,,0
Coca Cola 50Cl Pet,Beverages,TY00365,,50cl,0,0,8,,1,0,1,0,1,,0
Tasty Tom Onion & Ginger 60g Box,Tomato Paste,TY00335,,Box,0,0,12.5,,1,0,1,0,1,,0
Lezita Sausage,Meat\Fish,TY00366,,pcs,0,0,10,,1,0,1,0,1,,0
Beef Sinews Box,Meat\Fish,TY00381,,kg,280,23.2143,345,,1,0,1,0,1,,0
Red Eagle 5x5kg,Rice,TY00388,,5x5kg,375,-1.3333,370,,1,0,1,0,1,,0
Frytol Sachet 200Ml,Oil,TY00403,,pcs,0,-3.6145,8,,1,0,1,0,1,,0
Medaase Rice 5kg,Rice,TY00400,,5kg,0,0,74,,1,0,1,0,1,,0
Royal Aroma Fortified 0.9kg,Rice,TY00368,,0.9kg,0,0,16.5,,1,0,1,0,0,,0
Royal Aroma 1kg,Rice,TY00367,6033000380081,1kg,17,5.8824,18,,1,0,1,0,1,,-5
Unoli Sunflower Oil 1.8L,Oil,TY00369,,1.8l,0,0,68,,1,0,1,0,1,,0
Royal Aroma Fortified 5X5kg,Rice,TY00370,,5x5kg,0,0,415,,1,0,1,0,0,,0
Royal Aroma Fortified 5kg,Rice,TY00371,,5kg,0,0,83,,1,0,1,0,0,,0
Sumavi 25L Oil,Oil,TY00372,,25l,0,0,610,,1,0,1,0,0,,0
Gizzard Box,Meat\Fish,TY00391,,box,0,0,330,,1,0,1,0,1,,0
Tripe Full Box 10kg,Meat\Fish,TY00408,,carton,270,7.4074,290,,1,0,1,0,1,,-4
Millicent 1kg Rice,Rice,TY00407,6033000430991,1kg,0,0,18,,1,0,1,0,1,,-1
Leap Box,Tomato Paste,TY00406,,box,0,0,138,,1,0,1,0,1,,0
Lamore Box,Tomato Paste,TY00405,,,0,0,35,,1,0,1,0,0,,0
Salsa 2.2kg,Tomato Paste,TY00410,,tin,0,0,88,,1,0,1,0,1,,0
Tolo Beef,Meat\Fish,TY00411,,kg,0,0,24,,1,0,1,0,1,,0
Hayat Veg Oil 25Ltrs,Oil,TY00374,,25l,465,4.3011,485,,1,0,1,0,1,,0
Sugar Bag Brazil 50kg,Sugar,TY00375,,50kg,0,0,650,,1,0,1,0,1,,0
Ayekoo Spice,Spices,TY00382,,pcs,0,0,0.7,,1,0,1,0,1,,0
Onga Cube Tablet 12G,Spices,TY00383,,pcs,0,0,0.6,,1,0,1,0,0,,0
Kivo Pepper 6g,Spices,TY00384,630282995963,pcs,0.48,0,0.8,,1,0,1,0,1,,-12
Remie Spice Line,Spices,TY00385,,line,0,0,10,,1,0,1,0,1,,0
Hake Box,Meat\Fish,TY00409,,10kg,310,0,340,,1,0,1,0,1,,-1
Yellow Tail Fish Full Box,Meat\Fish,TY00412,,carton,0,0,320,,1,0,1,0,1,,0
Kpanla 14+,Meat\Fish,TY00386,,1kg,23,21.7391,28,,1,0,1,0,1,,-19.5
....,Oil,TY00404,,,0,0,16,,1,0,1,0,0,,0
Mom'S 45kg Rice,Rice,TY00376,,45kg,495,5.0505,520,,1,0,1,0,1,,-1
Mom's Recipe Sunflower Oil 10L,Oil,TY00377,,10l,0,0,280,,1,0,1,0,1,,0
Viola Spagheti 400G,Spaghetti,TY00379,,pcs,0,0,6,,1,0,1,0,1,,0
Mom's Recipe Sunflower Oil 4.5L,Oil,TY00380,,4.5l,125,12,140,,1,0,1,0,1,,-1
Medaase Rice 5X5kg,Rice,TY00401,,5x5kg,0,0,370,,1,0,1,0,1,,0
Loki Mayonnaise 250Ml,Ketchup\Mayonnaise\Baked Beans,TY00402,,pcs,0,0,10,,1,0,1,0,1,,0
Aaba 5X5,Rice,TY00387,,5x5kg,495,9.0909,540,,1,0,1,0,1,,0
Aaba 5kg,Rice,TY00389,,5kg,0,0,108,,1,0,1,0,1,,0
Mom'S Recipe Sunflower Oil 0.85L,Oil,TY00390,,0.85l,0,0,32,,1,0,1,0,1,,0
Royal Umbrella 5X5kg,Rice,TY00392,,5x5kg,550,1.8182,560,,1,0,1,0,1,,0
Sadia Box,Meat\Fish,TY00393,,box,320,7.8125,345,,1,0,1,0,1,,-1
Frangusol Sausage Box,Meat\Fish,TY00394,,box,0,0,350,,1,0,1,0,1,,0
Rosa Tomato Box,Tomato Paste,TY00395,,box,0,0,210,,1,0,1,0,1,,0
Bella Olonka Half,Rice,TY00397,,olonka,0,0,20,,1,0,1,0,1,,-7
Cic Green 5X5,Rice,TY00413,,kg,0,0,425,,1,0,1,0,1,,0
Royal Panda Rice 5X5kg,Rice,TY00424,,5x5kg,320,10.9375,355,,1,0,1,0,1,,0
My Boss,Rice,TY00433,,45kg,510,3.9216,530,,1,0,1,0,1,,0
Oba Rice 45kg,Rice,TY00434,,45kg,605,4.1322,630,,1,0,1,0,1,,0
Cic Daibon 5X5kg,Rice,TY00435,,5x5kg,0,0,415,,1,0,1,0,1,,0
Chelsea 5X5,Rice,TY00436,,5x5kg,310,-4.3478,330,,1,0,1,0,1,,0
Turkey Wings Carton,Meat\Fish,TY00437,,carton,400,10,440,,1,0,1,0,1,,-0.75
Palm Oil 25L,Oil,TY00438,,25l,585,0,585,,1,0,1,0,1,,0
Indomie Belleful Box,Indomie,TY00439,,box,0,0,190,,1,0,1,0,0,,0
Onga Line,Spices,TY00414,,line,0,0,12,,1,0,1,0,1,,-2
Kpanla,Meat\Fish,TY00415,,kg,0,0,35,,1,0,1,0,0,,0
Kwabena 5X5kg Rice,Rice,TY00416,,5x5kg,332,5.4217,350,,1,0,1,0,1,,0
Chelsea Rice 5kg,Rice,TY00417,,5kg,65,4.6154,68,,1,0,1,0,1,,0
Kwabena 5kg,Rice,TY00418,,5kg,67,4.4776,70,,1,0,1,0,1,,-26
Tilemsi 5 kg,Rice,TY00710,,5kg,0,0,120,,1,0,1,0,1,,0
Pena Sausage,Meat\Fish,TY00419,7894904078042,pcs,13,7.6923,14,,1,0,1,0,1,,-10
Broken Rice Olonka,Rice,TY00420,,olonka,0,0,32,,1,0,1,0,1,,-1.5
Sankofa Line (12Pcs),Spices,TY00421,,line,0,0,8.6,,1,0,1,0,1,,-9
Indomie Belleful,Indomie,TY00422,,pcs,13.5,0,13.5,,1,0,1,0,1,,0
Medaase 50kg,Rice,TY00423,,50kg,0,0,645,,1,0,1,0,1,,0
K75 5X5kg,Rice,TY00425,,5x5kg,385,3.8961,400,,1,0,1,0,1,,-3
K75 Gold 5X4kg,Rice,TY00426,,5x4kg,310,4.8387,325,,1,0,1,0,1,,0
Royal Aroma Gold 5X5kg,Rice,TY00427,,5x5kg,385,3.8961,400,,1,0,1,0,1,,0
Bella Spaghetti,Spaghetti,TY00428,,pcs,4.38,0,8.5,,1,0,1,0,1,,0
Mom'S Rice 22.5kg,Rice,TY00429,,22.5kg,231,21.2121,280,,1,0,1,0,1,,0
Yellow Taill Small  {Emule},Meat\Fish,TY00430,,kg,27,11.1111,30,,1,0,1,0,1,,0
Salmon Abidjan 10kg Box,Meat\Fish,TY00431,,carton,350,5.7143,370,,1,0,1,0,1,,0
K75 Gold 4kg,Rice,TY00432,,4kg,63,3.1746,65,,1,0,1,0,1,,-5
Salmon Local Box Small,Meat\Fish,TY00443,,carton,0,0,270,,1,0,1,0,1,,0
Salmon Local Big Box,Meat\Fish,TY00442,,carton,0,0,310,,1,0,1,0,1,,0
Full Chicken Big,Meat\Fish,TY00441,,pcs,44,9.0909,48,,1,0,1,0,1,,-4
Broiler Holland,Meat\Fish,TY00444,,kg,305,6.5574,325,,1,0,1,0,1,,0
Salmon Local Medium,Meat\Fish,TY00445,,kg,0,0,30,,1,0,1,0,1,,-2.8421709430404E-14
Frytol 450Ml,Oil,TY00440,,450ml,0,0,16,,1,0,1,0,1,,0
Ricci,Spices,TY00460,,pcs,0,0,1,,1,0,1,0,1,,0
My Deer Gold 4.5kg,Rice,TY00470,,4.5kg,86,3.4884,89,,1,0,1,0,1,,-2
My Deer Gold 5X4.5kg,Rice,TY00481,,5x4.5kg,430,3.4884,445,,1,0,1,0,1,,0
Royal Feast,Rice,TY00490,,5kg,0,0,113,,1,0,1,0,1,,0
Olia 25L,Oil,TY00542,,25l,0,0,720,,1,0,1,0,0,,0
Bella Rice Viet 5X5kg,Rice,TY00681,,5x5kg,320,7.8125,345,,1,0,1,0,1,,0
Unoli 3L,Oil,TY00707,,3l,0,0,150,,1,0,1,0,1,,0
Beypllie Gizzard,Meat\Fish,TY00709,,pcs,27,0,30,,1,0,1,0,1,,0
Cic Memo 5X5kg,Rice,TY00708,,5x5kg,0,0,540,,1,0,1,0,1,,0
Cic Memo 5kg,Rice,TY00461,,5kg,104,3.8462,108,,1,0,1,0,1,,0
Indomie Hungryman,Indomie,TY00462,6156000147635,pcs,0,0,9.5,,1,0,1,0,1,,-10
Kwabena 22.5kg,Rice,TY00463,,22.5kg,327,6.1162,347,,1,0,1,0,1,,0
Palme D'Or 4L,Oil,TY00464,,4l,107.5,11.6279,120,,1,0,1,0,1,,0
Frytol 100Ml,Oil,TY00446,,100ml,0,0,4,,1,0,0,0,1,,0
Annapurna Salt 450G,Spices,TY00447,6033000298829,pcs,0,0,5,,1,0,1,0,1,,-16
Jaba,Spices,TY00465,,pcs,0,0,1.2,,1,0,1,0,1,,0
Remie Fish Spice,Spices,TY00451,6969228800165,pcs,0,0,1,,1,0,1,0,1,,-1
Lele Salt,Spices,TY00466,,pcs,0,0,2.5,,1,0,1,0,1,,0
Oba Spaghetti 400G,Spaghetti,TY00467,8690828009020,pcs,6.75,18.5185,8,,1,0,1,0,1,,-37
Pearl,Rice,TY00468,,45kg,0,0,500,,1,0,1,0,1,,0
Royal Aroma Gold 5kg,Rice,TY00469,,5kg,73,5.4795,77,,1,0,1,0,0,,0
Moms Magic 4.5L,Oil,TY00471,8691313998546,4.5l,132.5,5.6604,140,,1,0,1,0,1,,0
Royal Panda 5kg,Rice,TY00472,,5kg,65,9.2308,71,,1,0,1,0,1,,0
Lar Gizzard,Meat\Fish,TY00473,7896419720744,pcs,0,0,30,,1,0,1,0,1,,-5
Sprite 1.5L,Beverages,TY00474,5449000110039,1.5l,0,0,20,,1,0,1,0,1,,-2
Tasty Tom 400g Box,Tomato Paste,TY00475,,box,223,0,240,,1,0,1,0,1,,0
Oba Spaghetti 400G Box,Spaghetti,TY00476,,box,135,11.1111,150,,1,0,1,0,1,,-1
Broiler Brazil Box,Meat\Fish,TY00477,,carton,250,8,270,,1,0,1,0,1,,-28
Hen Back,Meat\Fish,TY00478,,kg,20.23,18.6357,24,,1,0,1,0,1,,-2
Oba Spaghetti 200G Box,Spaghetti,TY00479,,box,130,11.5385,145,,1,0,1,0,1,,0
Kivo Ikg Box,Tomato Paste,TY00480,,box,180,42.2222,256,,1,0,1,0,0,,0
Chelsea 45kg,Rice,TY00482,,45kg,610,-2.3256,630,,1,0,1,0,1,,0
Mom'S Magic Oil 0.8L Box,Oil,TY00483,,12x0.8l,270,18.5185,320,,1,0,1,1,1,,0
8.69E+12,Oil,TY00484,,,27,18.5185,32,,1,0,1,0,0,,0
Remie Ginger And Garlic 10G Sachet,Spices,TY00398,,pcs,0,0,1,,1,0,1,0,1,,0
Sultana Spaghetti 435G,Spaghetti,TY00485,,pcs,6,16.6667,7,,1,0,1,0,0,,0
Chelsea Veit Rice 22.5kg,Rice,TY00486,,22.5kg,305,-5.7971,325,,1,0,1,0,1,,0
Royal Panda Veit 5kg,Rice,TY00487,,5kg,65,4.6154,68,,1,0,1,0,0,,0
Remie Chicken 50G,Spices,TY00488,6969228810102,pcs,3.5,14.2857,4,,1,0,1,0,1,,-16
Fanta 50Cl Pet,Beverages,TY00378,,50cl,0,0,7,,1,0,1,0,1,,0
Sprite 50Cl Pet,Beverages,TY00373,,50cl,0,0,7,,1,0,1,0,1,,0
Coca Cola Zero Pet 300Ml,Beverages,TY00347,,300ml,0,0,4.5,,1,0,1,0,1,,0
Coca Cola Zero Pet 50Cl,Beverages,TY00348,,50cl,0,0,7,,1,0,1,0,1,,0
Sultana Sardine,Sardine,TY00489,,pcs,0,0,7,,1,0,1,0,1,,0
Onga Shrimp 64X11G Tablets Pack,Spices,TY00399,6008155018592,64x11g,30,0,32,,1,0,1,0,1,,-7.5
Cutting Fee,Meat\Fish,TY00448,,,10,0,10,,1,0,1,0,1,,-9
Fanta Lemon 30Cl Pack,Beverages,TY00491,,0.3lx12,41.5,34.9398,56,,1,0,1,0,1,,0
Annapurna 200G,Spices,TY00492,,pcs,0,0,2.5,,1,0,1,0,1,,-1
Bino Sausage,Meat\Fish,TY00493,,pcs,30,16.6667,35,,1,0,1,0,1,,-13
Turkey Tail Carton,Meat\Fish,TY00494,,kg,430,13.9535,490,,1,0,1,0,1,,0
Pig Intestines,Meat\Fish,TY00495,,kg,0,0,28,,1,0,1,0,1,,-3.330669073875E-16
Sultana Sardine [rplc],Sardine,TY00496,,,0,0,7,,1,0,1,0,0,,0
Sultana Spaghetti 400G,Spaghetti,TY00497,,pcs,120,-94.1667,7,,1,0,1,0,1,,0
Annapuna Salt Small,Spices,TY00498,,pcs,0,0,2.5,,1,0,1,0,1,,-2
Viva Olonka,Rice,TY00449,,olonka,0,0,38,,1,0,1,0,1,,0
Remie Noodle Spice,Spices,TY00450,6971368010380,pcs,0.8,0,1,,1,0,1,0,1,,0
Remie Goat Spices,Spices,TY00452,,pcs,0,0,1,,1,0,1,0,1,,-10
Remie Fried Rice Spices,Spices,TY00454,,pcs,0,0,1,,1,0,1,0,1,,0
Onga Stew 64X12G Spices Pack,Spices,TY00457,,pack,28.3333,9.4246,31,,1,0,1,0,1,,0
Onga  Cube Tablets 1P,Spices,TY00458,,pcs,0,0,0.7,,1,0,1,0,1,,-4
Dubai Gold 4.5kg,Rice,TY00499,,4.5kg,65,4.6154,68,,1,0,1,0,1,,0
Wings Soft,Meat\Fish,TY00500,,kg,0,0,35,,1,0,1,0,0,,0
Hen Back Box,Meat\Fish,TY00459,,carton,185,24.3243,230,,1,0,1,0,1,,0
Onga Strip 3 Mix,Spices,TY00456,,pcs,0.85,0,1,,1,0,1,0,1,,-1
Kpanla 14 Box,Meat\Fish,TY00501,,carton,0,0,260,,1,0,1,0,0,,0
Yums Mayonnaise,Ketchup\Mayonnaise\Baked Beans,TY00502,,pcs,11.42,22.5919,14,,1,0,1,0,1,,0
Medaase Pakistan,Rice,TY00503,,45kg,490,12.2449,550,,1,0,1,0,1,,0
Sofia Gold 4.5kg,Rice,TY00504,,4.5kg,65,12.3077,73,,1,0,1,0,1,,0
Nana 25L,Oil,TY00505,,25l,500,4,520,,1,0,1,0,1,,0
Festin 59G,Tomato Paste,TY00506,,,1.3,30.7692,1.7,,1,0,1,0,0,,0
Egg Crate Small,Meat\Fish,TY00507,,crate,45,0,50,,1,0,1,0,1,,-3.5
Pretty Lady 5x4.5kg,Rice,TY00508,,5x4.5kg,325,7.6923,350,,1,0,1,0,1,,0
Sofia Gold 5X5,Rice,TY00509,,5x5kg,345,5.7971,365,,1,0,1,0,1,,0
Kpanla 20 Plus 10kg,Meat\Fish,TY00510,,carton,0,0,340,,1,0,1,0,0,,0
Zelda Veit 5X5,Rice,TY00511,,5x5kg,0,0,290,,1,0,1,0,1,,0
Zelda 5kg,Rice,TY00512,,5kg,0,0,58,,1,0,1,0,1,,0
Baracuda,Meat\Fish,TY00513,,carton,0,0,520,,1,0,1,0,1,,0
Baracuda 1kg,Meat\Fish,TY00514,,kg,39,33.3333,52,,1,0,1,0,1,,-1.8
Potato Chips,Meat\Fish,TY00515,,pcs,68.75,16.3636,80,,1,0,1,0,1,,-8
Granja Gizzard,Meat\Fish,TY00516,,pcs,25,12,28,,1,0,1,0,1,,0
White Eggs,Meat\Fish,TY00517,,pcs,0,0,2,,1,0,1,0,1,,-31
Hondi Box,Tomato Paste,TY00518,,box,190,10.5263,210,,1,0,1,0,0,,0
Remekes Layer,Meat\Fish,TY00519,,carton,300,13.3333,340,,1,0,1,0,1,,0
King Star 45,Rice,TY00242,,45kg,370,10.8108,410,,1,0,1,0,1,,0
Mom'S Oil 1.8L,Oil,TY00244,4820001116625,1.8l,60,8.3333,65,,1,0,1,0,1,,-4
Lele Sardine Box,Sardine,TY00396,,box,395,6.3291,420,,1,0,1,0,1,,0
Gino 2.2kg,Tomato Paste,TY00453,8410300366539,box,0,0,268,,1,0,1,0,1,,0
Chicken Wings Box,Meat\Fish,TY00455,,10kg,0,0,330,,1,0,1,0,1,,0
