Product,Code,MeasurementUnit,Price,Cost,ProductGroup
Gino Rice 5X5kg,TY00267,25kg,670,650,Rice
Large Crate Of Eggs,TY00316,crate,55,50,Meat\Fish
Eggs,TY00317,pcs,1.8,0,Meat\Fish
Nigeria Sugar Bag,TY00318,50kg,560,0,Sugar
Nigeria Sugar Olonka,TY00319,olonka,36,0,Sugar
Rambo Beef Pate 400G,TY00297,pcs,16,14.75,Ketchup\Mayonnaise\Baked Beans
Miss U Viet Rice 5X4.5kg,TY00298,25kg,335,3320,Rice
Miss U 5kg Rice,TY00299,5kg,67,0,Rice
Cic Daibon 5kg Rice,TY00305,5kg,83,0,Rice
K75 50kg,TY00310,50kg,742,725,Rice
City Rice 50kg,TY00311,50kg,355,0,Rice
Royal Aroma 50kg,TY00312,50kg,730,710,Rice
Dubai Gold 5x4.5kg,TY00313,5x4.5kg,340,320,Rice
Frytol Sunnia 25L,TY00344,25l,535,0,Oil
Royal Aroma 25kg,TY00320,25kg,385,370,Rice
Fortune Green 5X5kg,TY00321,5x5kg,415,400,Rice
Fortune Orange 5X5kg,TY00322,5x5kg,420,405,Rice
Pena Sausage Box,TY00323,box,330,295,Meat\Fish
Chicken Wings Hard Box,TY00324,carton,330,320,Meat\Fish
Leap Tomato 2.2kg Tin,TY00238,tin,34,0,Tomato Paste
Sultana Thai Rice 5x4.5kg,TY00325,5x4.5kg,530,500,Rice
Konkord Salt 250G Sachet,TY00357,pcs,2.5,0,Spices
Konkord Iodised Salt 500G,TY00358,pcs,5,0,Spices
Annapurna Iodated Salt 900G,TY00359,pcs,9,0,Spices
Viva Rice 45kg,TY00360,45kg,690,433.3333333,Rice
Special Rice 5X4.5kg,TY00361,5x4.5kg,355,340,Rice
Sultana Viet 45kg [rplc],TY00345,45kg,655,620,Rice
Millicent Rice 5X5kg,TY00346,5x5kg,392,372,Rice
Sultana Viet Rice 5X4.25kg,TY00326,5x5kg,335,320,Rice
Vega Rice 5X5kg,TY00327,5x5kg,195,0,Rice
Heaven Soy Sauce,TY00328,pcs,16.5,0,Oil
Oba Spaghetti 200G,TY00329,pcs,4,0,Spaghetti
Rambo Baked Beans,TY00330,pcs,9,0,Ketchup\Mayonnaise\Baked Beans
K75 Gold 45kg,TY00331,45kg,590,570,Rice
Rich City Rice 5X5,TY00332,5x5kg,46,0,Rice
Medaase Spag 20X435G Box,TY00333,20x435g,155,135,Spaghetti
Medo Rice 5X5,TY00334,5x5kg,240,0,Rice
Hug Me Rice  5X4.5kg,TY00362,5x4.5kg,195,0,Rice
Lele Rice 5kgx5,TY00363,25kg,550,528,Rice
Sprite Zero 300Ml Pet,TY00364,300ml,5,3.46,Beverages
Coca Cola 50Cl Pet,TY00365,50cl,8,0,Beverages
Tasty Tom Onion & Ginger 60g Box,TY00335,Box,12.5,0,Tomato Paste
Lezita Sausage,TY00366,pcs,10,0,Meat\Fish
Beef Sinews Box,TY00381,kg,345,280,Meat\Fish
Red Eagle 5x5kg,TY00388,5x5kg,370,375,Rice
Frytol Sachet 200Ml,TY00403,pcs,8,0,Oil
Medaase Rice 5kg,TY00400,5kg,74,0,Rice
Royal Aroma Fortified 0.9kg,TY00368,0.9kg,16.5,0,Rice
Royal Aroma 1kg,TY00367,1kg,18,17,Rice
Unoli Sunflower Oil 1.8L,TY00369,1.8l,68,0,Oil
Royal Aroma Fortified 5X5kg,TY00370,5x5kg,415,0,Rice
Royal Aroma Fortified 5kg,TY00371,5kg,83,0,Rice
Sumavi 25L Oil,TY00372,25l,610,0,Oil
Gizzard Box,TY00391,box,330,0,Meat\Fish
Tripe Full Box 10kg,TY00408,carton,290,270,Meat\Fish
Millicent 1kg Rice,TY00407,1kg,18,0,Rice
Leap Box,TY00406,box,138,0,Tomato Paste
Lamore Box,TY00405,,35,0,Tomato Paste
Salsa 2.2kg,TY00410,tin,88,0,Tomato Paste
Tolo Beef,TY00411,kg,24,0,Meat\Fish
Hayat Veg Oil 25Ltrs,TY00374,25l,485,465,Oil
Sugar Bag Brazil 50kg,TY00375,50kg,650,0,Sugar
Ayekoo Spice,TY00382,pcs,0.7,0,Spices
Onga Cube Tablet 12G,TY00383,pcs,0.6,0,Spices
Kivo Pepper 6g,TY00384,pcs,0.8,0.48,Spices
Remie Spice Line,TY00385,line,10,0,Spices
Hake Box,TY00409,10kg,340,310,Meat\Fish
Yellow Tail Fish Full Box,TY00412,carton,320,0,Meat\Fish
Kpanla 14+,TY00386,1kg,28,23,Meat\Fish
....,TY00404,,16,0,Oil
Mom'S 45kg Rice,TY00376,45kg,520,495,Rice
Mom's Recipe Sunflower Oil 10L,TY00377,10l,280,0,Oil
Viola Spagheti 400G,TY00379,pcs,6,0,Spaghetti
Mom's Recipe Sunflower Oil 4.5L,TY00380,4.5l,140,125,Oil
Medaase Rice 5X5kg,TY00401,5x5kg,370,0,Rice
Loki Mayonnaise 250Ml,TY00402,pcs,10,0,Ketchup\Mayonnaise\Baked Beans
Aaba 5X5,TY00387,5x5kg,540,495,Rice
Aaba 5kg,TY00389,5kg,108,0,Rice
Mom'S Recipe Sunflower Oil 0.85L,TY00390,0.85l,32,0,Oil
Royal Umbrella 5X5kg,TY00392,5x5kg,560,550,Rice
Sadia Box,TY00393,box,345,320,Meat\Fish
Frangusol Sausage Box,TY00394,box,350,0,Meat\Fish
Rosa Tomato Box,TY00395,box,210,0,Tomato Paste
Bella Olonka Half,TY00397,olonka,20,0,Rice
Cic Green 5X5,TY00413,kg,425,0,Rice
Royal Panda Rice 5X5kg,TY00424,5x5kg,355,320,Rice
My Boss,TY00433,45kg,530,510,Rice
Oba Rice 45kg,TY00434,45kg,630,605,Rice
Cic Daibon 5X5kg,TY00435,5x5kg,415,0,Rice
Chelsea 5X5,TY00436,5x5kg,330,310,Rice
Turkey Wings Carton,TY00437,carton,440,400,Meat\Fish
Palm Oil 25L,TY00438,25l,585,585,Oil
Indomie Belleful Box,TY00439,box,190,0,Indomie
Onga Line,TY00414,line,12,0,Spices
Kpanla,TY00415,kg,35,0,Meat\Fish
Kwabena 5X5kg Rice,TY00416,5x5kg,350,332,Rice
Chelsea Rice 5kg,TY00417,5kg,68,65,Rice
Kwabena 5kg,TY00418,5kg,70,67,Rice
Tilemsi 5 kg,TY00710,5kg,120,0,Rice
Pena Sausage,TY00419,pcs,14,13,Meat\Fish
Broken Rice Olonka,TY00420,olonka,32,0,Rice
Sankofa Line (12Pcs),TY00421,line,8.6,0,Spices
Indomie Belleful,TY00422,pcs,13.5,13.5,Indomie
Medaase 50kg,TY00423,50kg,645,0,Rice
K75 5X5kg,TY00425,5x5kg,400,385,Rice
K75 Gold 5X4kg,TY00426,5x4kg,325,310,Rice
Royal Aroma Gold 5X5kg,TY00427,5x5kg,400,385,Rice
Bella Spaghetti,TY00428,pcs,8.5,4.38,Spaghetti
Mom'S Rice 22.5kg,TY00429,22.5kg,280,231,Rice
Yellow Taill Small  {Emule},TY00430,kg,30,27,Meat\Fish
Salmon Abidjan 10kg Box,TY00431,carton,370,350,Meat\Fish
K75 Gold 4kg,TY00432,4kg,65,63,Rice
